band	soil
1057	0.3644392
1058	0.3647028
1059	0.3649664
1060	0.36523
1061	0.3655017
1062	0.3657734
1063	0.3660451
1064	0.3663168
1065	0.3665885
1066	0.3668602
1067	0.3671319
1068	0.3674036
1069	0.3676753
1070	0.367947
1071	0.3682169
1072	0.3684868
1073	0.3687567
1074	0.3690266
1075	0.3692965
1076	0.3695664
1077	0.3698363
1078	0.3701062
1079	0.3703761
1080	0.370646
1081	0.3709199
1082	0.3711938
1083	0.3714677
1084	0.3717416
1085	0.3720155
1086	0.3722894
1087	0.3725633
1088	0.3728372
1089	0.3731111
1090	0.373385
1091	0.3736493
1092	0.3739136
1093	0.3741779
1094	0.3744422
1095	0.3747065
1096	0.3749708
1097	0.3752351
1098	0.3754994
1099	0.3757637
1100	0.376028
1101	0.3762913
1102	0.3765546
1103	0.3768179
1104	0.3770812
1105	0.3773445
1106	0.3776078
1107	0.3778711
1108	0.3781344
1109	0.3783977
1110	0.378661
1111	0.3789323
1112	0.3792036
1113	0.3794749
1114	0.3797462
1115	0.3800175
1116	0.3802888
1117	0.3805601
1118	0.3808314
1119	0.3811027
1120	0.381374
1121	0.3816444
1122	0.3819148
1123	0.3821852
1124	0.3824556
1125	0.382726
1126	0.3829964
1127	0.3832668
1128	0.3835372
1129	0.3838076
1130	0.384078
1131	0.3843315
1132	0.384585
1133	0.3848385
1134	0.385092
1135	0.3853455
1136	0.385599
1137	0.3858525
1138	0.386106
1139	0.3863595
1140	0.386613
1141	0.3868451
1142	0.3870772
1143	0.3873093
1144	0.3875414
1145	0.3877735
1146	0.3880056
1147	0.3882377
1148	0.3884698
1149	0.3887019
1150	0.388934
1151	0.3891537
1152	0.3893734
1153	0.3895931
1154	0.3898128
1155	0.3900325
1156	0.3902522
1157	0.3904719
1158	0.3906916
1159	0.3909113
1160	0.391131
1161	0.3913587
1162	0.3915864
1163	0.3918141
1164	0.3920418
1165	0.3922695
1166	0.3924972
1167	0.3927249
1168	0.3929526
1169	0.3931803
1170	0.393408
1171	0.3936341
1172	0.3938602
1173	0.3940863
1174	0.3943124
1175	0.3945385
1176	0.3947646
1177	0.3949907
1178	0.3952168
1179	0.3954429
1180	0.395669
1181	0.3958891
1182	0.3961092
1183	0.3963293
1184	0.3965494
1185	0.3967695
1186	0.3969896
1187	0.3972097
1188	0.3974298
1189	0.3976499
1190	0.39787
1191	0.3980864
1192	0.3983028
1193	0.3985192
1194	0.3987356
1195	0.398952
1196	0.3991684
1197	0.3993848
1198	0.3996012
1199	0.3998176
1200	0.400034
1201	0.4002419
1202	0.4004498
1203	0.4006577
1204	0.4008656
1205	0.4010735
1206	0.4012814
1207	0.4014893
1208	0.4016972
1209	0.4019051
1210	0.402113
1211	0.4023093
1212	0.4025056
1213	0.4027019
1214	0.4028982
1215	0.4030945
1216	0.4032908
1217	0.4034871
1218	0.4036834
1219	0.4038797
1220	0.404076
1221	0.4042513
1222	0.4044266
1223	0.4046019
1224	0.4047772
1225	0.4049525
1226	0.4051278
1227	0.4053031
1228	0.4054784
1229	0.4056537
1230	0.405829
1231	0.4059903
1232	0.4061516
1233	0.4063129
1234	0.4064742
1235	0.4066355
1236	0.4067968
1237	0.4069581
1238	0.4071194
1239	0.4072807
1240	0.407442
1241	0.4076102
1242	0.4077784
1243	0.4079466
1244	0.4081148
1245	0.408283
1246	0.4084512
1247	0.4086194
1248	0.4087876
1249	0.4089558
1250	0.409124
1251	0.4092867
1252	0.4094494
1253	0.4096121
1254	0.4097748
1255	0.4099375
1256	0.4101002
1257	0.4102629
1258	0.4104256
1259	0.4105883
1260	0.410751
1261	0.4109032
1262	0.4110554
1263	0.4112076
1264	0.4113598
1265	0.411512
1266	0.4116642
1267	0.4118164
1268	0.4119686
1269	0.4121208
1270	0.412273
1271	0.4124023
1272	0.4125316
1273	0.4126609
1274	0.4127902
1275	0.4129195
1276	0.4130488
1277	0.4131781
1278	0.4133074
1279	0.4134367
1280	0.413566
1281	0.4136608
1282	0.4137556
1283	0.4138504
1284	0.4139452
1285	0.41404
1286	0.4141348
1287	0.4142296
1288	0.4143244
1289	0.4144192
1290	0.414514
1291	0.4145896
1292	0.4146652
1293	0.4147408
1294	0.4148164
1295	0.414892
1296	0.4149676
1297	0.4150432
1298	0.4151188
1299	0.4151944
1300	0.41527
1301	0.4153404
1302	0.4154108
1303	0.4154812
1304	0.4155516
1305	0.415622
1306	0.4156924
1307	0.4157628
1308	0.4158332
1309	0.4159036
1310	0.415974
1311	0.4160522
1312	0.4161304
1313	0.4162086
1314	0.4162868
1315	0.416365
1316	0.4164432
1317	0.4165214
1318	0.4165996
1319	0.4166778
1320	0.416756
1321	0.4168219
1322	0.4168878
1323	0.4169537
1324	0.4170196
1325	0.4170855
1326	0.4171514
1327	0.4172173
1328	0.4172832
1329	0.4173491
1330	0.417415
1331	0.4174757
1332	0.4175364
1333	0.4175971
1334	0.4176578
1335	0.4177185
1336	0.4177792
1337	0.4178399
1338	0.4179006
1339	0.4179613
1340	0.418022
1341	0.4180413
1342	0.4180606
1343	0.4180799
1344	0.4180992
1345	0.4181185
1346	0.4181378
1347	0.4181571
1348	0.4181764
1349	0.4181957
1350	0.418215
1351	0.4181783
1352	0.4181416
1353	0.4181049
1354	0.4180682
1355	0.4180315
1356	0.4179948
1357	0.4179581
1358	0.4179214
1359	0.4178847
1360	0.417848
1361	0.4177237
1362	0.4175994
1363	0.4174751
1364	0.4173508
1365	0.4172265
1366	0.4171022
1367	0.4169779
1368	0.4168536
1369	0.4167293
1370	0.416605
1371	0.4161217
1372	0.4156384
1373	0.4151551
1374	0.4146718
1375	0.4141885
1376	0.4137052
1377	0.4132219
1378	0.4127386
1379	0.4122553
1380	0.411772
1381	0.4110561
1382	0.4103402
1383	0.4096243
1384	0.4089084
1385	0.4081925
1386	0.4074766
1387	0.4067607
1388	0.4060448
1389	0.4053289
1390	0.404613
1391	0.4040808
1392	0.4035486
1393	0.4030164
1394	0.4024842
1395	0.401952
1396	0.4014198
1397	0.4008876
1398	0.4003554
1399	0.3998232
1400	0.399291
1401	0.3985809
1402	0.3978708
1403	0.3971607
1404	0.3964506
1405	0.3957405
1406	0.3950304
